X,Y,Color
379.0,876.0,red
603.0,875.0,red
381.0,683.0,red
461.0,531.0,red
458.0,250.0,red
453.0,113.0,red
606.0,16.0,red
100.0,116.0,red
605.0,523.0,red
606.0,249.0,red
100.0,20.0,red
454.0,576.0,red
607.0,835.0,red
452.0,602.0,red
455.0,679.0,red
411.0,878.0,red
579.0,877.0,red
519.0,877.0,red
483.0,877.0,red
377.0,816.0,red
607.0,783.0,red
607.0,744.0,red
378.0,741.0,red
607.0,696.0,red
391.0,680.0,red
415.0,679.0,red
457.0,658.0,red
606.0,644.0,red
606.0,634.0,red
456.0,620.0,red
607.0,600.0,red
458.0,561.0,red
481.0,528.0,red
495.0,527.0,red
551.0,526.0,red
567.0,525.0,red
580.0,523.0,red
505.0,252.0,red
608.0,224.0,red
455.0,152.0,red
194.0,117.0,red
249.0,116.0,red
283.0,115.0,red
311.0,114.0,red
363.0,113.0,red
411.0,112.0,red
608.0,104.0,red
98.0,91.0,red
176.0,17.0,red
273.0,16.0,red
292.0,15.0,red
381.0,14.0,red
101.0,528.0,blue
431.0,660.0,blue
101.0,631.0,blue
446.0,629.0,blue
102.0,618.0,blue
447.0,616.0,blue
176.0,601.0,blue
445.0,598.0,blue
449.0,580.0,blue
440.0,562.0,blue
441.0,549.0,blue
370.0,512.0,blue
443.0,489.0,blue
445.0,476.0,blue
447.0,442.0,blue
446.0,418.0,blue
443.0,408.0,blue
444.0,372.0,blue
425.0,351.0,blue
102.0,344.0,blue
423.0,339.0,blue
103.0,322.0,blue
444.0,305.0,blue
445.0,282.0,blue
444.0,245.0,blue
444.0,232.0,blue
156.0,218.0,blue
156.0,202.0,blue
391.0,201.0,blue
100.0,185.0,blue
100.0,172.0,blue
100.0,138.0,blue
195.0,378.0,blue
103.0,666.0,blue
103.0,652.0,blue
176.0,589.0,blue
370.0,525.0,blue
102.0,494.0,blue
101.0,446.0,blue
102.0,238.0,blue
231.0,178.0,blue
421.0,140.0,blue
103.0,518.0,blue
104.0,482.0,blue
103.0,458.0,blue
445.0,454.0,blue
198.0,412.0,blue
443.0,316.0,blue
104.0,311.0,blue
443.0,269.0,blue
101.0,150.0,blue
418.0,649.0,blue
178.0,554.0,blue
179.0,566.0,blue
197.0,423.0,blue
106.0,274.0,blue
196.0,390.0,blue
103.0,355.0,blue
106.0,285.0,blue
378.0,210.0,blue
416.0,131.0,blue
432.0,581.0,blue
445.0,384.0,blue
175.0,666.0,blue
368.0,665.0,blue
421.0,663.0,blue
168.0,651.0,blue
338.0,650.0,blue
367.0,649.0,blue
228.0,632.0,blue
118.0,632.0,blue
336.0,631.0,blue
383.0,630.0,blue
162.0,617.0,blue
332.0,616.0,blue
434.0,615.0,blue
388.0,615.0,blue
269.0,602.0,blue
205.0,602.0,blue
321.0,601.0,blue
342.0,600.0,blue
237.0,587.0,blue
341.0,586.0,blue
363.0,585.0,blue
419.0,584.0,blue
208.0,569.0,blue
249.0,568.0,blue
287.0,567.0,blue
307.0,566.0,blue
352.0,565.0,blue
405.0,564.0,blue
417.0,563.0,blue
283.0,552.0,blue
333.0,551.0,blue
355.0,550.0,blue
374.0,549.0,blue
429.0,548.0,blue
254.0,530.0,blue
290.0,529.0,blue
341.0,528.0,blue
101.0,604.0,light_blue
101.0,536.0,light_blue
189.0,431.0,light_blue
102.0,431.0,light_blue
102.0,365.0,light_blue
172.0,602.0,light_blue
173.0,536.0,light_blue
193.0,368.0,light_blue
183.0,364.0,light_blue
173.0,579.0,light_blue
174.0,569.0,light_blue
174.0,554.0,light_blue
124.0,533.0,light_blue
137.0,434.0,light_blue
100.0,410.0,light_blue
100.0,397.0,light_blue
192.0,395.0,light_blue
100.0,384.0,light_blue
148.0,362.0,light_blue
191.0,379.0,light_blue
151.0,191.0,purple
101.0,191.0,purple
103.0,221.0,purple
151.0,219.0,purple
136.0,223.0,purple
136.0,189.0,purple
