X,Y,Color
444,576,red0
444,674,red0
443,675,red0
443,676,red0
442,677,red0
442,679,red0
441,680,red0
441,682,red0
437,686,red0
434,686,red0
432,688,red0
426,688,red0
425,689,red0
422,689,red0
421,690,red0
418,690,red0
417,691,red0
384,691,red0
384,723,red0
383,724,red0
383,749,red0
384,750,red0
384,758,red0
382,760,red0
381,760,red0
381,792,red0
382,793,red0
382,806,red0
383,807,red0
383,816,red0
384,817,red0
384,842,red0
385,843,red0
385,852,red0
384,853,red0
384,891,red0
411,891,red0
412,890,red0
423,890,red0
424,889,red0
441,889,red0
442,890,red0
442,891,red0
476,891,red0
477,890,red0
495,890,red0
496,891,red0
552,891,red0
553,892,red0
569,892,red0
570,893,red0
598,893,red0
598,891,red0
599,890,red0
600,890,red0
600,849,red0
599,849,red0
598,848,red0
598,827,red0
597,826,red0
597,768,red0
598,767,red0
598,724,red0
597,724,red0
596,723,red0
596,701,red0
595,700,red0
595,599,red0
594,598,red0
594,576,red0
284,20,red1
283,21,red1
267,21,red1
266,22,red1
163,22,red1
162,23,red1
82,23,red1
81,24,red1
79,24,red1
79,123,red1
80,123,red1
81,124,red1
193,124,red1
194,123,red1
204,123,red1
205,124,red1
265,124,red1
266,125,red1
266,126,red1
290,126,red1
291,125,red1
295,125,red1
297,123,red1
347,123,red1
348,124,red1
419,124,red1
420,125,red1
426,125,red1
427,126,red1
430,126,red1
431,127,red1
433,127,red1
434,128,red1
434,129,red1
436,131,red1
436,183,red1
437,184,red1
437,249,red1
438,250,red1
438,265,red1
591,265,red1
591,215,red1
590,214,red1
590,203,red1
589,202,red1
589,91,red1
588,90,red1
588,23,red1
587,22,red1
586,22,red1
585,21,red1
547,21,red1
546,20,red1
492,20,red1
491,21,red1
454,21,red1
453,20,red1
352,20,red1
351,21,red1
314,21,red1
313,20,red1
,,
222,661,blue0
221,662,blue0
202,662,blue0
201,663,blue0
82,663,blue0
82,667,blue0
81,668,blue0
81,677,blue0
82,678,blue0
163,678,blue0
164,677,blue0
219,677,blue0
220,676,blue0
351,676,blue0
352,675,blue0
355,675,blue0
356,674,blue0
363,674,blue0
363,663,blue0
360,663,blue0
359,662,blue0
335,662,blue0
334,661,blue0
197,625,blue1
196,626,blue1
184,626,blue1
183,627,blue1
170,627,blue1
169,628,blue1
92,628,blue1
91,629,blue1
82,629,blue1
82,631,blue1
81,632,blue1
81,640,blue1
82,641,blue1
82,643,blue1
83,644,blue1
121,644,blue1
122,643,blue1
156,643,blue1
157,642,blue1
165,642,blue1
166,641,blue1
274,641,blue1
275,642,blue1
304,642,blue1
305,641,blue1
396,641,blue1
397,642,blue1
417,642,blue1
418,641,blue1
425,641,blue1
426,640,blue1
428,640,blue1
428,634,blue1
429,633,blue1
429,628,blue1
428,627,blue1
418,627,blue1
417,626,blue1
256,626,blue1
255,625,blue1
222,590,blue2
221,591,blue2
212,591,blue2
211,592,blue2
78,592,blue2
78,601,blue2
79,602,blue2
79,606,blue2
80,607,blue2
103,607,blue2
104,608,blue2
143,608,blue2
144,609,blue2
148,609,blue2
149,608,blue2
177,608,blue2
178,607,blue2
309,607,blue2
310,606,blue2
427,606,blue2
428,605,blue2
432,605,blue2
432,595,blue2
431,594,blue2
431,591,blue2
354,591,blue2
353,592,blue2
246,592,blue2
245,591,blue2
230,591,blue2
229,590,blue2
144,556,blue3
143,557,blue3
135,557,blue3
134,558,blue3
133,558,blue3
133,563,blue3
132,564,blue3
132,570,blue3
133,571,blue3
137,571,blue3
138,572,blue3
385,572,blue3
386,573,blue3
415,573,blue3
416,572,blue3
417,572,blue3
417,571,blue3
418,570,blue3
419,570,blue3
419,567,blue3
420,566,blue3
421,566,blue3
421,563,blue3
422,562,blue3
423,562,blue3
423,558,blue3
408,558,blue3
407,557,blue3
352,557,blue3
351,556,blue3
81,521,blue4
80,522,blue4
79,522,blue4
79,528,blue4
78,529,blue4
78,535,blue4
79,536,blue4
116,536,blue4
117,537,blue4
144,537,blue4
145,538,blue4
208,538,blue4
209,537,blue4
293,537,blue4
294,536,blue4
302,536,blue4
303,535,blue4
309,535,blue4
309,530,blue4
308,530,blue4
306,528,blue4
306,522,blue4
304,522,blue4
303,521,blue4
294,521,blue4
293,522,blue4
119,522,blue4
118,521,blue4
122,487,blue5
121,488,blue5
83,488,blue5
82,489,blue5
81,489,blue5
80,490,blue5
80,502,blue5
101,502,blue5
102,503,blue5
341,503,blue5
342,502,blue5
414,502,blue5
415,501,blue5
427,501,blue5
428,500,blue5
428,488,blue5
419,488,blue5
