X,Y,Color
609,945,red0
587,945,red1
612,944,red2
611,945,red2
611,947,red2
612,946,red2
584,942,red3
584,943,red3
583,944,red3
584,944,red3
585,943,red3
541,942,red4
541,944,red4
542,945,red4
542,946,red4
543,946,red4
544,945,red4
545,946,red4
546,946,red4
547,947,red4
547,948,red4
548,947,red4
550,947,red4
550,946,red4
549,946,red4
548,945,red4
547,946,red4
546,946,red4
545,945,red4
545,944,red4
544,943,red4
544,942,red4
543,942,red4
542,943,red4
579,939,red5
579,943,red5
578,944,red5
576,942,red5
576,941,red5
576,945,red5
578,945,red5
578,944,red5
580,942,red5
580,941,red5
579,940,red5
609,938,red6
609,939,red6
610,939,red6
611,940,red6
611,941,red6
612,941,red6
612,940,red6
613,939,red6
613,938,red6
612,939,red6
610,939,red6
567,938,red7
568,939,red7
567,940,red7
567,942,red7
566,943,red7
566,945,red7
568,945,red7
569,944,red7
569,943,red7
570,942,red7
570,941,red7
571,940,red7
571,939,red7
570,938,red7
569,938,red7
568,939,red7
601,936,red8
597,936,red9
597,939,red9
595,941,red9
594,941,red9
596,941,red9
597,942,red9
595,944,red9
594,943,red9
594,944,red9
595,945,red9
595,946,red9
596,946,red9
597,945,red9
599,945,red9
598,944,red9
598,941,red9
599,940,red9
598,939,red9
598,938,red9
597,937,red9
591,936,red10
591,937,red10
592,938,red10
592,939,red10
592,936,red10
575,936,red11
551,935,red12
550,936,red12
550,937,red12
551,938,red12
552,937,red12
552,936,red12
543,935,red13
543,938,red13
605,934,red14
605,935,red14
603,937,red14
604,938,red14
604,940,red14
605,941,red14
603,943,red14
602,943,red14
601,942,red14
601,941,red14
601,943,red14
602,944,red14
602,945,red14
603,946,red14
604,946,red14
603,945,red14
604,944,red14
606,944,red14
606,943,red14
607,942,red14
607,941,red14
606,941,red14
605,940,red14
606,939,red14
606,936,red14
607,935,red14
608,935,red14
608,934,red14
599,934,red15
599,935,red15
564,934,red16
533,934,red17
533,936,red17
534,937,red17
534,936,red17
535,935,red17
536,936,red17
536,945,red17
537,946,red17
538,945,red17
538,944,red17
536,942,red17
536,941,red17
538,939,red17
539,939,red17
538,938,red17
539,937,red17
540,937,red17
540,935,red17
538,935,red17
537,936,red17
536,936,red17
534,934,red17
546,933,red18
545,934,red18
546,935,red18
546,936,red18
545,937,red18
546,938,red18
548,938,red18
548,935,red18
547,935,red18
546,934,red18
547,933,red18
586,932,red19
586,935,red19
585,936,red19
583,934,red19
582,935,red19
580,933,red19
579,933,red19
578,934,red19
578,935,red19
577,936,red19
577,937,red19
576,938,red19
575,938,red19
576,939,red19
578,937,red19
579,937,red19
579,936,red19
581,934,red19
583,936,red19
583,937,red19
584,938,red19
584,939,red19
585,940,red19
586,939,red19
586,938,red19
587,937,red19
587,935,red19
588,934,red19
588,933,red19
587,932,red19
538,930,red20
538,931,red20
539,931,red20
539,930,red20
534,930,red21
535,930,red21
610,920,red22
609,921,red22
601,921,red22
600,922,red22
599,921,red22
596,921,red22
595,922,red22
590,922,red22
589,923,red22
590,924,red22
593,924,red22
594,923,red22
605,923,red22
606,924,red22
612,924,red22
613,923,red22
613,921,red22
612,920,red22
559,919,red23
557,921,red23
556,920,red23
551,920,red23
550,921,red23
545,921,red23
544,922,red23
544,924,red23
553,924,red23
554,925,red23
555,925,red23
556,926,red23
558,926,red23
559,925,red23
560,925,red23
560,924,red23
562,922,red23
562,919,red23
45,903,red24
162,896,red25
162,897,red25
163,896,red25
51,895,red26
51,896,red26
53,896,red26
53,895,red26
231,894,red27
231,895,red27
232,895,red27
232,894,red27
60,884,red28
59,885,red28
60,885,red28
204,882,red29
204,883,red29
205,884,red29
206,884,red29
206,882,red29
168,879,red30
168,880,red30
170,880,red30
170,879,red30
150,877,red31
204,876,red32
204,877,red32
205,877,red32
206,878,red32
206,877,red32
205,876,red32
44,875,red33
44,876,red33
45,877,red33
46,877,red33
46,876,red33
45,875,red33
514,870,red34
515,870,red34
567,829,red35
567,830,red35
568,831,red35
568,832,red35
570,832,red35
570,829,red35
444,821,red36
445,821,red36
502,819,red37
503,820,red37
503,819,red37
589,785,red38
589,786,red38
590,787,red38
591,787,red38
591,786,red38
590,785,red38
45,766,red39
45,768,red39
46,768,red39
46,766,red39
426,765,red40
426,767,red40
428,767,red40
428,766,red40
427,765,red40
44,758,red41
43,759,red41
41,759,red41
41,760,red41
42,761,red41
43,761,red41
45,763,red41
46,763,red41
46,762,red41
47,761,red41
47,759,red41
48,758,red41
47,759,red41
46,758,red41
539,731,red42
540,732,red42
541,732,red42
541,731,red42
500,728,red43
499,729,red43
499,730,red43
500,731,red43
501,731,red43
501,728,red43
529,723,red44
529,724,red44
530,724,red44
43,720,red45
42,721,red45
42,722,red45
44,722,red45
44,721,red45
44,703,red46
44,706,red46
46,706,red46
46,704,red46
45,703,red46
42,698,red47
41,699,red47
42,700,red47
43,700,red47
43,699,red47
263,689,red48
260,688,red49
260,690,red49
261,689,red49
223,686,red50
226,686,red50
253,685,red51
253,686,red51
255,686,red51
254,685,red51
234,685,red52
234,688,red52
235,687,red52
236,688,red52
236,686,red52
235,686,red52
231,684,red53
231,685,red53
230,686,red53
229,686,red53
