X,Y,Color
389.0,893.0,red
611.0,889.0,red
395.0,687.0,red
448.0,680.0,red
454.0,572.0,red
609.0,569.0,red
453.0,262.0,red
602.0,258.0,red
84.0,121.0,red
85.0,21.0,red
596.0,12.0,red
446.0,124.0,red
604.0,56.0,red
514.0,566.0,red
461.0,894.0,red
452.0,670.0,red
565.0,261.0,red
490.0,895.0,red
535.0,892.0,red
387.0,868.0,red
613.0,850.0,red
389.0,841.0,red
612.0,821.0,red
390.0,820.0,red
612.0,805.0,red
391.0,803.0,red
612.0,755.0,red
392.0,706.0,red
612.0,695.0,red
421.0,684.0,red
433.0,683.0,red
452.0,650.0,red
613.0,639.0,red
452.0,622.0,red
452.0,597.0,red
613.0,584.0,red
485.0,568.0,red
563.0,566.0,red
553.0,565.0,red
489.0,264.0,red
529.0,263.0,red
450.0,232.0,red
604.0,224.0,red
449.0,210.0,red
603.0,188.0,red
603.0,134.0,red
201.0,124.0,red
104.0,124.0,red
215.0,123.0,red
293.0,122.0,red
364.0,121.0,red
309.0,121.0,red
604.0,97.0,red
82.0,94.0,red
82.0,83.0,red
82.0,56.0,red
599.0,37.0,red
161.0,18.0,red
177.0,17.0,red
251.0,16.0,red
285.0,15.0,red
354.0,14.0,red
370.0,13.0,red
381.0,12.0,red
464.0,11.0,red
565.0,10.0,red
552.0,10.0,red
522.0,10.0,red
433.0,895.0,red
500.0,893.0,red
433.0,630.0,blue
450.0,496.0,blue
86.0,436.0,blue
434.0,421.0,blue
437.0,363.0,blue
439.0,291.0,blue
84.0,248.0,blue
436.0,211.0,blue
86.0,520.0,blue
441.0,661.0,blue
146.0,590.0,blue
264.0,553.0,blue
144.0,499.0,blue
144.0,486.0,blue
197.0,467.0,blue
85.0,467.0,blue
85.0,422.0,blue
143.0,386.0,blue
86.0,331.0,blue
442.0,328.0,blue
86.0,317.0,blue
442.0,314.0,blue
142.0,282.0,blue
423.0,250.0,blue
436.0,224.0,blue
167.0,213.0,blue
419.0,190.0,blue
420.0,176.0,blue
354.0,154.0,blue
85.0,146.0,blue
85.0,566.0,blue
422.0,432.0,blue
349.0,140.0,blue
441.0,649.0,blue
82.0,636.0,blue
434.0,619.0,blue
265.0,565.0,blue
86.0,554.0,blue
425.0,532.0,blue
427.0,521.0,blue
87.0,453.0,blue
436.0,352.0,blue
170.0,187.0,blue
84.0,158.0,blue
439.0,596.0,blue
84.0,658.0,blue
86.0,668.0,blue
448.0,484.0,blue
190.0,455.0,blue
144.0,398.0,blue
440.0,384.0,blue
87.0,364.0,blue
144.0,293.0,blue
437.0,280.0,blue
85.0,260.0,blue
147.0,602.0,blue
439.0,395.0,blue
168.0,226.0,blue
86.0,354.0,blue
86.0,623.0,blue
87.0,532.0,blue
425.0,348.0,blue
171.0,177.0,blue
330.0,259.0,blue
414.0,245.0,blue
117.0,670.0,blue
168.0,669.0,blue
194.0,668.0,blue
387.0,667.0,blue
402.0,666.0,blue
145.0,654.0,blue
158.0,653.0,blue
195.0,652.0,blue
387.0,651.0,blue
400.0,650.0,blue
104.0,637.0,blue
119.0,636.0,blue
147.0,635.0,blue
159.0,634.0,blue
248.0,633.0,blue
343.0,632.0,blue
114.0,620.0,blue
158.0,619.0,blue
245.0,618.0,blue
341.0,617.0,blue
382.0,616.0,blue
161.0,605.0,blue
228.0,604.0,blue
245.0,603.0,blue
420.0,602.0,blue
170.0,589.0,blue
235.0,588.0,blue
307.0,587.0,blue
373.0,586.0,blue
255.0,568.0,blue
97.0,553.0,blue
179.0,552.0,blue
136.0,552.0,blue
107.0,534.0,blue
400.0,518.0,blue
82.0,233.0,light_blue
165.0,169.0,light_blue
82.0,166.0,light_blue
162.0,231.0,light_blue
149.0,235.0,light_blue
165.0,202.0,light_blue
80.0,200.0,light_blue
166.0,191.0,light_blue
80.0,184.0,light_blue
167.0,180.0,light_blue
142.0,164.0,light_blue
140.0,576.0,purple
87.0,505.0,purple
138.0,374.0,purple
88.0,300.0,purple
139.0,476.0,purple
137.0,299.0,purple
86.0,405.0,purple
137.0,269.0,purple
139.0,404.0,purple
87.0,607.0,purple
87.0,578.0,purple
86.0,474.0,purple
139.0,607.0,purple
87.0,272.0,purple
139.0,502.0,purple
86.0,373.0,purple
127.0,610.0,purple
107.0,573.0,purple
113.0,507.0,purple
129.0,506.0,purple
121.0,408.0,purple
112.0,303.0,purple
96.0,267.0,purple
114.0,266.0,purple
