X,Y,Color
36.0,865.0,red
240.0,694.0,red
42.0,262.0,red
550.0,117.0,red
46.0,18.0,red
206.0,875.0,red
40.0,44.0,red
552.0,27.0,red
240.0,871.0,red
41.0,536.0,red
188.0,265.0,red
192.0,689.0,red
187.0,538.0,red
198.0,113.0,red
195.0,132.0,red
230.0,875.0,red
179.0,871.0,red
153.0,870.0,red
143.0,870.0,red
96.0,870.0,red
242.0,840.0,red
34.0,803.0,red
242.0,772.0,red
35.0,769.0,red
36.0,740.0,red
188.0,649.0,red
37.0,647.0,red
189.0,610.0,red
38.0,563.0,red
156.0,534.0,red
140.0,533.0,red
73.0,533.0,red
142.0,267.0,red
117.0,266.0,red
98.0,265.0,red
191.0,211.0,red
192.0,186.0,red
40.0,160.0,red
41.0,149.0,red
193.0,145.0,red
41.0,134.0,red
522.0,119.0,red
490.0,118.0,red
40.0,118.0,red
479.0,117.0,red
437.0,116.0,red
326.0,115.0,red
299.0,114.0,red
265.0,113.0,red
229.0,112.0,red
552.0,94.0,red
552.0,80.0,red
540.0,25.0,red
481.0,25.0,red
423.0,25.0,red
373.0,24.0,red
322.0,23.0,red
309.0,22.0,red
233.0,21.0,red
218.0,20.0,red
157.0,19.0,red
146.0,18.0,red
124.0,17.0,red
87.0,16.0,red
86.0,868.0,red
257.0,412.0,blue
547.0,621.0,blue
534.0,536.0,blue
538.0,523.0,blue
468.0,394.0,blue
553.0,323.0,blue
200.0,531.0,blue
202.0,492.0,blue
199.0,460.0,blue
381.0,671.0,blue
199.0,631.0,blue
258.0,588.0,blue
323.0,554.0,blue
201.0,553.0,blue
548.0,485.0,blue
547.0,452.0,blue
536.0,431.0,blue
535.0,416.0,blue
468.0,379.0,blue
551.0,361.0,blue
204.0,355.0,blue
202.0,322.0,blue
204.0,308.0,blue
548.0,290.0,blue
264.0,287.0,blue
525.0,255.0,blue
522.0,241.0,blue
537.0,222.0,blue
529.0,188.0,blue
533.0,173.0,blue
545.0,156.0,blue
289.0,150.0,blue
196.0,668.0,blue
537.0,604.0,blue
202.0,481.0,blue
547.0,465.0,blue
264.0,273.0,blue
202.0,217.0,blue
538.0,208.0,blue
296.0,139.0,blue
204.0,252.0,blue
205.0,204.0,blue
378.0,659.0,blue
198.0,657.0,blue
545.0,633.0,blue
260.0,599.0,blue
203.0,565.0,blue
548.0,498.0,blue
203.0,448.0,blue
258.0,424.0,blue
207.0,344.0,blue
545.0,278.0,blue
204.0,240.0,blue
202.0,621.0,blue
201.0,520.0,blue
205.0,388.0,blue
215.0,377.0,blue
323.0,567.0,blue
549.0,349.0,blue
293.0,172.0,blue
543.0,143.0,blue
538.0,594.0,blue
289.0,182.0,blue
311.0,671.0,blue
260.0,670.0,blue
271.0,655.0,blue
244.0,654.0,blue
214.0,654.0,blue
532.0,636.0,blue
505.0,635.0,blue
408.0,635.0,blue
377.0,635.0,blue
314.0,634.0,blue
274.0,633.0,blue
219.0,632.0,blue
476.0,619.0,blue
455.0,618.0,blue
329.0,618.0,blue
260.0,617.0,blue
240.0,617.0,blue
477.0,606.0,blue
451.0,605.0,blue
404.0,604.0,blue
304.0,603.0,blue
477.0,590.0,blue
439.0,589.0,blue
338.0,588.0,blue
260.0,569.0,blue
217.0,568.0,blue
304.0,553.0,blue
508.0,537.0,blue
476.0,536.0,blue
277.0,535.0,blue
259.0,534.0,blue
232.0,533.0,blue
521.0,521.0,blue
503.0,520.0,blue
418.0,519.0,blue
369.0,519.0,blue
268.0,519.0,blue
282.0,128.0,light_blue
200.0,165.0,light_blue
204.0,189.0,light_blue
285.0,188.0,light_blue
206.0,128.0,light_blue
215.0,192.0,light_blue
283.0,162.0,light_blue
199.0,180.0,light_blue
284.0,140.0,light_blue
202.0,154.0,light_blue
202.0,144.0,light_blue
284.0,174.0,light_blue
249.0,431.0,purple
253.0,398.0,purple
258.0,292.0,purple
208.0,290.0,purple
205.0,429.0,purple
250.0,604.0,purple
205.0,604.0,purple
204.0,575.0,purple
206.0,395.0,purple
209.0,258.0,purple
206.0,270.0,purple
259.0,260.0,purple
254.0,576.0,purple
225.0,254.0,purple
223.0,607.0,purple
256.0,587.0,purple
219.0,432.0,purple
254.0,420.0,purple
255.0,409.0,purple
241.0,395.0,purple
223.0,395.0,purple
230.0,294.0,purple
